                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5712,                 2.5693,                 1.5826,                0.36881,                0.19215,                0.18102,                 0.1002,                 2.0448,                 5.4333,                  2.054,             0.00033077,             0.00033077,             0.00033077
                      2,                 1.6376,                 2.1968,                  1.622,                0.27455,                0.28048,                0.21773,                0.12126,                 1.9574,                 3.2162,                 1.9152,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.6431,                 2.1341,                 1.5802,                0.28664,                0.31355,                0.22882,                0.13714,                 1.7954,                 2.9032,                 1.8222,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.6105,                 2.0353,                 1.5801,                 0.2198,                0.42097,                0.25312,                0.15169,                  1.654,                 2.4565,                 1.6588,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.5524,                 1.9155,                 1.5166,                0.28385,                0.40272,                0.31185,                0.19201,                 1.6225,                 2.3265,                 1.6246,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.5347,                 1.8661,                 1.5066,                0.32799,                0.39832,                 0.3201,                0.18989,                 1.6436,                 1.9394,                 1.6383,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.4953,                 1.8226,                 1.4871,                0.29088,                0.43489,                0.33189,                0.21038,                 1.5998,                  2.161,                 1.6148,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.4389,                 1.7514,                 1.4665,                0.45107,                0.38592,                0.37719,                0.23414,                 1.5168,                 1.7866,                 1.5596,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.4586,                 1.7052,                 1.4686,                0.38108,                0.45621,                0.39212,                0.24063,                 1.5386,                 1.9977,                 1.5578,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.4395,                 1.6956,                  1.448,                0.34843,                0.43091,                0.37024,                0.23092,                 1.5005,                 1.9692,                 1.5466,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.4166,                 1.6439,                 1.4525,                0.41786,                0.43385,                0.39572,                0.24518,                 1.4787,                 1.8114,                 1.5459,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.4219,                  1.647,                 1.4417,                0.43206,                0.43466,                0.39046,                0.24594,                  1.475,                 1.6889,                 1.5419,               0.000901,               0.000901,               0.000901
                     13,                 1.3528,                 1.6026,                 1.4181,                0.38454,                0.47929,                0.41047,                0.27108,                 1.4334,                 1.7043,                   1.52,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.3932,                 1.5837,                 1.4283,                0.43953,                0.44796,                0.41813,                0.26439,                 1.4419,                 1.6965,                 1.5121,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.3554,                 1.5591,                 1.3994,                0.45288,                 0.4871,                0.44762,                0.28066,                 1.4416,                   1.61,                 1.5094,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.3785,                 1.5627,                 1.4147,                0.44892,                0.48722,                0.44747,                0.28554,                 1.4386,                 1.6007,                 1.5044,              0.0008614,              0.0008614,              0.0008614
