                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4768,                 2.9459,                 1.5193,                0.32665,                0.30968,                0.25423,                0.16168,                 1.6557,                 2.6127,                 1.5537,             0.00033077,             0.00033077,             0.00033077
                      2,                 1.4771,                 2.3034,                  1.477,                0.48362,                 0.3946,                0.35987,                0.22572,                 1.6518,                 2.4232,                 1.5571,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.5025,                 2.1255,                 1.4725,                0.39593,                0.41297,                0.36364,                0.22884,                 1.6567,                 2.0893,                 1.5806,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.4784,                 1.9815,                 1.4661,                0.38652,                0.36579,                0.34349,                0.22295,                 1.6042,                 2.2024,                 1.5585,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4558,                 1.8607,                 1.4379,                0.37636,                 0.4385,                 0.3398,                0.21647,                 1.5995,                 2.0466,                 1.5566,              0.0009703,              0.0009703,              0.0009703
                      6,                  1.417,                 1.7472,                 1.4202,                0.49646,                0.45738,                0.41068,                0.25825,                 1.6039,                 1.8881,                 1.5247,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.3743,                 1.7107,                  1.416,                0.43113,                0.46831,                0.40193,                0.25799,                 1.5886,                 2.1295,                 1.5185,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.3898,                 1.6657,                 1.4116,                0.57676,                0.42218,                0.45823,                0.30131,                 1.5307,                 1.7589,                 1.4917,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.3912,                 1.6338,                  1.403,                0.48982,                0.49814,                0.46635,                0.30322,                 1.5471,                 1.7021,                 1.4984,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.3696,                 1.5727,                 1.4044,                0.53024,                0.47831,                0.46717,                 0.3018,                 1.5393,                 1.7347,                    1.5,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.3456,                  1.562,                 1.3901,                0.50137,                0.49562,                 0.4685,                0.30638,                 1.5069,                 1.7165,                 1.4658,              0.0009109,              0.0009109,              0.0009109
                     12,                   1.33,                 1.5212,                 1.3758,                0.53376,                0.44815,                0.46597,                0.29749,                 1.5306,                 1.8601,                 1.4882,               0.000901,               0.000901,               0.000901
                     13,                 1.3536,                 1.5442,                 1.3902,                0.62061,                0.45397,                 0.4882,                0.32301,                 1.5035,                  1.682,                  1.491,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.3259,                 1.4864,                 1.3596,                0.53801,                0.49553,                0.47964,                0.31274,                 1.5163,                 1.6455,                 1.4541,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.333,                 1.4984,                 1.3719,                0.51317,                0.50341,                0.46921,                0.30461,                 1.5046,                 1.7283,                 1.4692,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.3507,                  1.475,                 1.3728,                 0.4914,                0.50919,                0.46516,                0.31038,                  1.504,                 1.6041,                 1.4667,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.3247,                 1.4707,                 1.3616,                0.50131,                0.49611,                0.46798,                0.31557,                 1.5099,                 1.6316,                 1.4952,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.3049,                  1.434,                 1.3579,                0.50775,                0.52133,                0.48519,                 0.3275,                 1.4886,                 1.5747,                 1.4622,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.3066,                 1.4321,                 1.3496,                0.51407,                0.48587,                0.47108,                 0.3151,                 1.5024,                 1.5992,                 1.4555,              0.0008317,              0.0008317,              0.0008317
                     20,                    1.3,                 1.4069,                 1.3672,                 0.5435,                0.51308,                0.47834,                0.31637,                 1.4878,                 1.6054,                 1.4723,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.2918,                 1.3827,                 1.3404,                0.53216,                0.48335,                0.46939,                0.31634,                 1.4838,                 1.6269,                 1.4508,              0.0008119,              0.0008119,              0.0008119
                     22,                 1.2685,                 1.3565,                 1.3273,                0.51383,                0.48383,                0.46848,                0.31381,                 1.4859,                 1.6921,                 1.4565,               0.000802,               0.000802,               0.000802
                     23,                  1.289,                  1.356,                 1.3303,                0.57178,                0.49369,                0.48633,                0.31698,                 1.4799,                  1.648,                 1.4579,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.2825,                 1.3788,                 1.3454,                 0.5705,                0.46517,                0.48231,                0.31858,                 1.5003,                 1.5831,                 1.4465,              0.0007822,              0.0007822,              0.0007822
                     25,                 1.2741,                 1.3187,                 1.3209,                0.52939,                 0.4853,                0.47213,                0.32006,                 1.4982,                 1.6383,                 1.4579,              0.0007723,              0.0007723,              0.0007723
                     26,                 1.2777,                 1.3413,                 1.3273,                0.57042,                0.47043,                0.49431,                0.32857,                  1.486,                 1.5521,                 1.4459,              0.0007624,              0.0007624,              0.0007624
                     27,                 1.2729,                 1.3194,                 1.3237,                0.51547,                0.54309,                0.50771,                0.34342,                 1.4768,                   1.56,                 1.4335,              0.0007525,              0.0007525,              0.0007525
                     28,                 1.2701,                 1.3248,                 1.3273,                0.53963,                0.51955,                0.49904,                0.33074,                 1.4702,                 1.5767,                 1.4487,              0.0007426,              0.0007426,              0.0007426
                     29,                 1.2582,                 1.2845,                 1.3173,                0.54785,                0.48667,                0.48744,                0.32667,                 1.5026,                 1.5947,                 1.4627,              0.0007327,              0.0007327,              0.0007327
                     30,                 1.2469,                 1.2956,                 1.3144,                0.56271,                0.47487,                0.49008,                0.32679,                 1.4758,                 1.5875,                 1.4289,              0.0007228,              0.0007228,              0.0007228
                     31,                 1.2491,                 1.2525,                 1.3188,                0.51877,                0.51004,                0.49894,                0.33261,                 1.4767,                 1.6306,                 1.4404,              0.0007129,              0.0007129,              0.0007129
                     32,                 1.2722,                 1.3093,                 1.3322,                0.52204,                0.48615,                0.46714,                0.30734,                 1.5072,                 1.7352,                 1.4546,               0.000703,               0.000703,               0.000703
                     33,                 1.2506,                 1.2541,                 1.3173,                0.53922,                  0.516,                0.49975,                0.33447,                 1.4655,                  1.552,                 1.4366,              0.0006931,              0.0006931,              0.0006931
                     34,                 1.2571,                 1.2843,                 1.3132,                0.55642,                0.49007,                0.49069,                0.32441,                 1.4881,                 1.5431,                 1.4489,              0.0006832,              0.0006832,              0.0006832
                     35,                 1.2335,                  1.227,                 1.3045,                0.55737,                0.51638,                 0.4881,                0.32648,                 1.4815,                 1.6079,                  1.457,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.2197,                 1.2534,                 1.3062,                0.54741,                0.49293,                 0.4762,                0.31901,                 1.4996,                  1.677,                 1.4634,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.2515,                 1.2362,                 1.3209,                0.54804,                0.52474,                 0.5124,                0.34322,                 1.4705,                 1.5244,                 1.4409,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.2165,                 1.2356,                 1.2929,                0.49716,                0.51881,                0.49018,                0.32927,                 1.4886,                 1.5902,                 1.4525,              0.0006436,              0.0006436,              0.0006436
