                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7629,                 3.9249,                 3.7384,                0.17733,                0.30905,                0.19137,                0.09065,                  2.133,                 3.2488,                 3.0642,             0.00033077,             0.00033077,             0.00033077
                      2,                 2.0877,                 3.0224,                 2.7589,                0.23542,                0.39507,                0.25748,                0.13449,                 1.9131,                 3.2765,                 2.5352,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.8954,                 2.7368,                 2.3695,                0.26912,                0.34119,                0.22365,                0.13296,                 1.7483,                 4.2926,                 2.2033,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.7677,                 2.5392,                 2.1902,                0.23385,                0.43451,                0.28396,                0.16893,                   1.74,                 3.0651,                 2.1244,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7171,                  2.354,                 2.0487,                0.30619,                 0.4379,                 0.3196,                0.19112,                 1.6873,                 2.4245,                 2.0658,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.6703,                 2.2592,                  2.019,                0.32822,                0.36984,                0.32605,                0.19259,                 1.6314,                 2.2623,                 1.9705,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.6291,                 2.1345,                 1.9581,                0.34691,                0.41571,                0.36199,                0.21745,                 1.6113,                 2.2467,                 1.9529,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5678,                 2.0746,                 1.9088,                0.49027,                0.37425,                0.39484,                0.23963,                 1.5686,                  2.129,                 1.9013,              0.0009406,              0.0009406,              0.0009406
                      9,                  1.603,                 2.0243,                 1.9182,                0.44187,                0.38402,                0.38269,                0.23471,                 1.5979,                 2.0987,                 1.9361,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5689,                  1.988,                 1.8686,                0.44268,                0.45228,                0.42307,                 0.2626,                 1.5328,                 2.0306,                 1.8222,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5501,                  1.938,                 1.8659,                0.35081,                0.42015,                0.33691,                0.19271,                  1.611,                 2.2441,                 1.9125,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5583,                 1.9348,                 1.8473,                0.41644,                0.45376,                0.39203,                0.22603,                 1.5627,                 2.0407,                 1.8865,               0.000901,               0.000901,               0.000901
                     13,                 1.4999,                 1.8728,                 1.8212,                 0.4803,                0.46246,                0.42623,                0.27282,                 1.4993,                 2.0277,                 1.8059,              0.0008911,              0.0008911,              0.0008911
                     14,                  1.511,                 1.8351,                 1.8149,                0.44181,                0.50182,                0.45051,                 0.2791,                   1.54,                 1.9091,                 1.8369,              0.0008812,              0.0008812,              0.0008812
