                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7187,                 3.9288,                 3.7537,                0.40192,                0.24947,                0.21045,                0.10826,                 2.2352,                 3.1872,                 3.0547,             0.00033077,             0.00033077,             0.00033077
                      2,                 2.0317,                 2.9558,                 2.6204,                 0.3122,                0.39755,                0.26351,                0.16118,                 1.9351,                 4.3866,                 2.4146,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.8777,                 2.6905,                 2.2686,                0.39492,                0.31484,                0.28721,                0.17462,                 1.8321,                 2.7854,                 2.2475,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.7772,                 2.5242,                  2.152,                0.42569,                0.40356,                 0.3413,                0.21253,                 1.7664,                 2.4808,                 2.1331,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.7048,                 2.3388,                 2.0443,                0.41019,                0.44282,                0.35839,                0.22655,                 1.7502,                  2.351,                 2.1136,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.6602,                 2.1989,                 1.9787,                0.36868,                0.43813,                0.33993,                0.22158,                 1.6881,                 2.3103,                 2.0067,              0.0009604,              0.0009604,              0.0009604
                      7,                  1.603,                 2.1181,                 1.9537,                0.34628,                0.47539,                0.35399,                0.22627,                 1.6737,                 2.8252,                      2,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.5801,                 2.1113,                 1.9225,                0.38256,                 0.4783,                0.33812,                0.21781,                 1.7364,                 2.5106,                 2.0339,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6074,                 2.0067,                 1.9098,                0.44537,                0.46227,                0.40612,                 0.2633,                 1.6332,                 2.0405,                 1.9458,              0.0009307,              0.0009307,              0.0009307
                     10,                   1.55,                  1.974,                 1.8727,                0.44092,                0.44637,                0.39573,                0.25825,                 1.5983,                 2.1481,                  1.906,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5368,                  1.943,                  1.859,                0.47989,                 0.4271,                0.41343,                0.27516,                 1.5898,                 2.0441,                  1.877,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5076,                  1.878,                 1.8404,                0.44206,                0.48878,                 0.4447,                 0.2853,                 1.6434,                 2.0589,                   1.93,               0.000901,               0.000901,               0.000901
                     13,                 1.5323,                 1.8914,                 1.8304,                0.58563,                0.41094,                0.43226,                0.27646,                 1.6083,                 2.0435,                 1.9206,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5086,                 1.8373,                 1.8036,                0.53572,                0.46557,                0.45939,                0.29509,                 1.5886,                 1.9273,                 1.8483,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5025,                 1.8121,                 1.8034,                0.54478,                0.45722,                0.46068,                0.30079,                  1.583,                 1.9882,                 1.8588,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5044,                 1.7932,                 1.7974,                 0.4996,                0.46645,                0.45603,                0.30244,                 1.5455,                 1.9017,                 1.8382,              0.0008614,              0.0008614,              0.0008614
