                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1404,                 4.3556,                 3.8945,                0.50794,                 0.0057,                 0.0071,                0.00224,                 2.9015,                 7.2501,                 3.3994,             0.00033077,             0.00033077,             0.00033077
                      2,                 2.5825,                 3.5616,                 3.0426,                0.51109,                0.12892,                0.02286,                0.00711,                 2.6734,                 4.0868,                 3.0515,             0.00065753,             0.00065753,             0.00065753
                      3,                 2.3053,                 2.9853,                 2.5739,                0.15948,                0.30818,                0.17834,                0.08731,                  2.121,                 2.8904,                  2.343,             0.00097769,             0.00097769,             0.00097769
                      4,                 2.0637,                 2.6307,                 2.3215,                0.37746,                0.32287,                0.20859,                0.11557,                 1.8523,                 2.9437,                 2.1324,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9042,                 2.4261,                 2.1184,                 0.2368,                0.40988,                0.23593,                0.14173,                 1.7793,                 2.3385,                 1.9622,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.8056,                 2.2819,                 2.0019,                0.18417,                0.38539,                0.22999,                 0.1365,                 1.6853,                  2.333,                 1.8529,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.7481,                 2.2066,                 1.9272,                0.23325,                0.43018,                0.25846,                0.16424,                   1.65,                 2.2251,                 1.8119,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.6438,                 2.1203,                 1.8611,                0.30853,                0.45241,                0.28528,                 0.1741,                 1.6198,                 2.1059,                 1.7463,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.6538,                 2.0492,                 1.8191,                0.22381,                0.43364,                0.27501,                0.16548,                 1.5793,                 2.2799,                 1.7047,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.6341,                 2.0515,                 1.7875,                0.25602,                0.38526,                0.25072,                0.15235,                 1.6524,                 2.3271,                 1.7347,              0.0009208,              0.0009208,              0.0009208
                     11,                  1.604,                 2.0122,                 1.7835,                0.31497,                0.43535,                0.31205,                0.19892,                 1.6017,                 2.1021,                 1.6943,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6134,                 2.0053,                 1.7711,                0.36207,                0.43483,                0.30985,                 0.1981,                 1.6086,                 2.0237,                 1.7071,               0.000901,               0.000901,               0.000901
                     13,                 1.5227,                 1.9418,                  1.729,                0.33442,                0.47884,                0.32984,                0.20382,                 1.5991,                 1.9464,                 1.6877,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.5514,                 1.9129,                 1.7159,                0.38172,                0.42799,                0.36519,                0.23067,                 1.5497,                 1.9146,                 1.6528,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.5326,                 1.9006,                 1.6871,                0.39992,                0.44141,                0.33669,                0.21255,                 1.5532,                 1.9131,                  1.659,              0.0008713,              0.0008713,              0.0008713
