                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.491,                 3.0225,                 1.5459,                0.36905,                0.35772,                0.30673,                0.18907,                 1.6377,                 2.6621,                 1.5773,             0.00033077,             0.00033077,             0.00033077
                      2,                  1.484,                 2.3343,                 1.4982,                0.36017,                0.48956,                 0.3434,                0.21294,                 1.7151,                 5.3573,                 1.6519,             0.00065753,             0.00065753,             0.00065753
                      3,                 1.5059,                 2.1335,                 1.4933,                0.41173,                0.40372,                0.35271,                0.20431,                 1.7424,                 2.2447,                 1.6779,             0.00097769,             0.00097769,             0.00097769
                      4,                 1.4817,                      2,                 1.4857,                0.46034,                0.43074,                0.42745,                0.27633,                 1.5714,                 1.9446,                 1.5646,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.4628,                 1.8798,                 1.4589,                0.40645,                0.43333,                0.39586,                0.25955,                 1.6146,                 2.0313,                 1.5685,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.4276,                 1.7852,                 1.4463,                0.42933,                0.39513,                  0.341,                0.22311,                 1.6174,                 2.5102,                 1.5995,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.3889,                 1.7398,                 1.4355,                0.40141,                0.46313,                0.38148,                0.25171,                 1.5946,                 2.2777,                  1.565,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.3989,                 1.6902,                 1.4416,                0.51074,                0.45039,                0.41156,                0.26628,                 1.5882,                  1.938,                 1.5449,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.4073,                 1.6489,                 1.4327,                0.45509,                0.49573,                0.42568,                 0.2777,                 1.5536,                 1.8277,                 1.5262,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.3765,                 1.5986,                 1.4271,                0.45029,                0.46599,                 0.4272,                0.27673,                  1.578,                 1.9204,                 1.5674,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.3654,                 1.5919,                 1.4198,                0.53013,                0.45773,                0.45748,                0.31413,                 1.5241,                 1.7801,                 1.5157,              0.0009109,              0.0009109,              0.0009109
                     12,                  1.334,                  1.538,                 1.3949,                0.53912,                 0.4927,                0.46676,                0.31498,                 1.5078,                 1.7855,                 1.4972,               0.000901,               0.000901,               0.000901
                     13,                 1.3525,                 1.5524,                  1.407,                0.51667,                0.48799,                0.47894,                0.31143,                 1.5338,                 1.7182,                 1.5387,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.3369,                 1.4835,                 1.3868,                0.58631,                0.45334,                0.46803,                0.31506,                 1.5052,                 1.7444,                 1.4827,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.3415,                 1.5039,                 1.3909,                0.55648,                0.47268,                0.48309,                0.31904,                 1.5143,                 1.6791,                 1.4945,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.3668,                  1.507,                 1.3988,                0.52128,                0.50726,                0.49254,                0.32165,                 1.5023,                  1.579,                 1.4784,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.3378,                 1.4792,                 1.3869,                0.51394,                0.49382,                0.47918,                0.31599,                 1.5306,                  1.779,                 1.5291,              0.0008515,              0.0008515,              0.0008515
