                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72622,                 3.8334,                 0.9922,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.00032,                0.00032,                0.00032
                      2,                0.70944,                 2.8207,                0.91866,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00064356,             0.00064356,             0.00064356
                      3,                0.70482,                 2.6465,                0.91285,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096059,             0.00096059,             0.00096059
                      4,                  0.708,                   2.52,                0.93287,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097029,             0.00097029,             0.00097029
                      5,                0.71277,                 2.4281,                0.93107,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00097029,             0.00097029,             0.00097029
                      6,                0.70712,                 2.2888,                0.90886,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00096039,             0.00096039,             0.00096039
                      7,                0.71402,                 2.2288,                0.91322,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00095049,             0.00095049,             0.00095049
                      8,                0.68351,                 2.1671,                0.89801,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00094058,             0.00094058,             0.00094058
                      9,                0.70442,                 2.0768,                0.89683,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00093068,             0.00093068,             0.00093068
                     10,                0.68885,                 2.0828,                0.90891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00092078,             0.00092078,             0.00092078
                     11,                0.67379,                 1.9962,                0.89516,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00091088,             0.00091088,             0.00091088
                     12,                0.66581,                 1.9922,                0.88344,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00090097,             0.00090097,             0.00090097
                     13,                0.66852,                 1.9227,                0.88026,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00089107,             0.00089107,             0.00089107
                     14,                0.67855,                 1.9953,                0.90179,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00088117,             0.00088117,             0.00088117
                     15,                0.65148,                 1.8919,                0.87067,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00087126,             0.00087126,             0.00087126
                     16,                0.65901,                 1.8669,                 0.8835,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00086136,             0.00086136,             0.00086136
                     17,                0.65645,                 1.8617,                 0.8866,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00085146,             0.00085146,             0.00085146
                     18,                0.63431,                 1.7929,                0.86232,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00084156,             0.00084156,             0.00084156
                     19,                0.63556,                 1.7769,                0.86891,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00083165,             0.00083165,             0.00083165
                     20,                 0.6594,                 1.7675,                 0.8774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00082175,             0.00082175,             0.00082175
                     21,                0.66165,                 1.7458,                0.86643,                      0,                      0,                      0,                      0,                      0,                      0,                      0,             0.00081185,             0.00081185,             0.00081185
