                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6383,                 3.9465,                 1.6468,                 0.0197,                0.43108,                 0.1193,                0.07326,                 1.6031,                 4.1706,                 1.3822,                0.00016,                0.00016,                0.00016
                      2,                 1.5451,                  2.867,                 1.4857,                0.62471,                0.15367,                0.14724,                0.09369,                 1.6503,                 3.7358,                 1.4442,             0.00032673,             0.00032673,             0.00032673
                      3,                 1.5272,                 2.4008,                 1.4493,                0.65179,                0.17141,                0.23229,                0.14028,                 1.7602,                 3.4176,                 1.5041,              0.0004901,              0.0004901,              0.0004901
                      4,                 1.5112,                 2.2575,                 1.4569,                0.58251,                0.22845,                0.25689,                 0.1378,                 1.8245,                 3.1923,                 1.5803,              0.0006501,              0.0006501,              0.0006501
                      5,                 1.5284,                 2.1978,                  1.454,                0.39267,                0.25458,                0.26057,                0.10478,                 2.0268,                 2.9322,                 1.8862,             0.00080674,             0.00080674,             0.00080674
                      6,                  1.532,                 2.1483,                 1.4605,                0.26012,                0.28953,                0.23101,                0.13149,                  1.891,                   2.81,                 1.6904,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.5504,                 2.0678,                 1.4423,                0.20236,                0.28868,                0.17389,                  0.076,                 1.9609,                 2.6518,                 1.6486,              0.0009505,              0.0009505,              0.0009505
                      8,                  1.535,                 2.0225,                 1.4451,                0.28794,                0.25428,                0.20807,                0.09883,                  2.056,                 2.5056,                 1.6696,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.5366,                 1.8973,                 1.4209,                0.29894,                0.25625,                0.21986,                0.11166,                 1.9112,                 2.2147,                 1.5821,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.5386,                 1.8658,                 1.4396,                0.50291,                0.36248,                0.32182,                0.17805,                 1.8687,                 2.1324,                  1.597,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.5036,                 1.8535,                 1.4176,                 0.4421,                 0.3447,                0.24267,                 0.1306,                 1.8333,                 2.3779,                 1.5719,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.5067,                 1.7544,                 1.4171,                 0.3513,                0.29784,                 0.2636,                0.15112,                  1.851,                   2.31,                 1.5451,               0.000901,               0.000901,               0.000901
                     13,                 1.4785,                  1.769,                  1.387,                0.48643,                0.32969,                0.29434,                0.16669,                 1.8119,                 2.0371,                 1.5378,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.4397,                 1.6395,                 1.3827,                0.43699,                0.30903,                0.30274,                 0.1741,                 1.8636,                 2.1202,                 1.5454,              0.0008812,              0.0008812,              0.0008812
                     15,                 1.4474,                 1.6116,                 1.3823,                0.45929,                0.35684,                0.40767,                0.24902,                 1.7543,                 1.8504,                 1.4626,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.4239,                 1.6147,                 1.3603,                0.52283,                0.34517,                0.35869,                 0.2125,                 1.7613,                 1.7599,                 1.4566,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.4414,                 1.6373,                 1.3697,                0.41377,                0.39334,                0.35002,                0.20362,                 1.7188,                 1.9777,                 1.5217,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4536,                 1.5267,                 1.3644,                0.49227,                0.38249,                0.38217,                0.24675,                 1.8242,                 1.9016,                 1.5804,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.4474,                 1.5711,                 1.3814,                0.47204,                0.35964,                0.34383,                0.19053,                 1.7925,                 1.7492,                 1.4939,              0.0008317,              0.0008317,              0.0008317
                     20,                  1.416,                 1.5104,                 1.3786,                0.46096,                0.37198,                0.38288,                  0.229,                 1.7478,                 1.9158,                 1.4853,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.4113,                 1.4809,                 1.3702,                0.51356,                0.38396,                 0.4342,                0.26262,                 1.7185,                 1.7385,                 1.4829,              0.0008119,              0.0008119,              0.0008119
