                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1409,                 4.5923,                 4.1522,                0.00185,                0.25279,                0.04232,                0.00836,                  3.371,                 5.0116,                  4.118,                0.00032,                0.00032,                0.00032
                      2,                 2.4874,                 3.4321,                 3.4237,                0.42693,                0.22398,                0.09132,                0.03767,                 2.4905,                 3.9569,                 3.4816,             0.00064357,             0.00064357,             0.00064357
                      3,                  2.206,                 3.0545,                 2.8871,                0.33283,                0.27143,                0.19478,                0.08318,                 2.1105,                 2.6452,                 2.7429,              0.0009606,              0.0009606,              0.0009606
                      4,                 2.0007,                 2.8261,                 2.5537,                0.21362,                0.29943,                0.19732,                0.09261,                 2.0094,                 2.7802,                 2.5102,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.9404,                 2.7398,                  2.412,                0.39694,                0.24551,                0.21518,                0.10515,                 1.9809,                 2.6761,                 2.4632,              0.0009703,              0.0009703,              0.0009703
                      6,                 1.9086,                 2.5958,                 2.3146,                0.36122,                0.30114,                0.25749,                0.13188,                 1.9071,                 3.6493,                 2.3156,              0.0009604,              0.0009604,              0.0009604
                      7,                 1.8394,                 2.4952,                 2.2218,                0.57204,                 0.3316,                0.31781,                0.17266,                 1.8467,                 3.5229,                 2.2364,              0.0009505,              0.0009505,              0.0009505
                      8,                 1.7983,                 2.4183,                 2.1836,                0.31665,                0.38386,                0.27771,                0.15892,                 1.7942,                 2.4732,                 2.1708,              0.0009406,              0.0009406,              0.0009406
                      9,                 1.7509,                 2.2561,                 2.0866,                0.29346,                0.37109,                0.26973,                0.14642,                  1.786,                 2.4936,                 2.1163,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.7227,                 2.2903,                 2.0607,                0.41652,                0.32078,                0.32159,                0.16771,                  1.789,                 2.2994,                 2.1113,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.7046,                 2.2039,                 2.0396,                0.48187,                0.38001,                0.35727,                0.20386,                 1.8455,                  2.185,                 2.1676,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.6884,                 2.0698,                 2.0111,                0.58742,                0.40614,                 0.3802,                0.22514,                 1.7839,                 1.9941,                 2.1089,               0.000901,               0.000901,               0.000901
                     13,                 1.6562,                 2.0661,                 1.9477,                0.43162,                0.35683,                0.36552,                0.22379,                 1.7656,                 2.0665,                 2.0642,              0.0008911,              0.0008911,              0.0008911
                     14,                 1.6469,                 1.9996,                 1.9637,                0.35631,                0.33277,                0.31442,                0.18086,                 1.7478,                 2.1351,                 2.0563,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.645,                 1.9895,                 1.9355,                0.31894,                0.35373,                0.30251,                0.17426,                 1.7799,                 2.0929,                 2.1116,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.6174,                 1.9629,                 1.9455,                0.38082,                0.42824,                0.39338,                0.23716,                  1.764,                 2.0073,                 2.0409,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.6291,                 1.9337,                 1.9247,                0.47091,                0.39811,                0.39428,                0.23723,                  1.747,                 1.9227,                 2.0232,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.6114,                 1.9009,                 1.9234,                0.38218,                0.44651,                0.38762,                0.22634,                 1.7972,                 1.9572,                 2.0648,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.6024,                 1.8799,                 1.8864,                0.62857,                0.35867,                0.38705,                0.22841,                 1.7139,                 1.8431,                 2.0023,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.5966,                 1.8708,                 1.8865,                0.39757,                0.42969,                0.39311,                0.23479,                 1.7714,                 1.9566,                 2.0316,              0.0008218,              0.0008218,              0.0008218
                     21,                 1.5902,                   1.85,                  1.875,                0.50064,                0.36551,                0.36899,                0.22837,                 1.7341,                 1.9929,                  1.999,              0.0008119,              0.0008119,              0.0008119
                     22,                   1.56,                 1.8648,                 1.8671,                0.48741,                0.36995,                0.36598,                0.22321,                 1.7542,                 1.9608,                 2.0319,               0.000802,               0.000802,               0.000802
                     23,                 1.5444,                 1.8047,                 1.8621,                0.48756,                0.37777,                0.41421,                0.24521,                 1.7529,                 1.8326,                 2.0136,              0.0007921,              0.0007921,              0.0007921
                     24,                 1.5639,                 1.7554,                 1.8182,                0.55378,                0.40137,                0.42025,                0.25193,                  1.716,                 1.8092,                 1.9788,              0.0007822,              0.0007822,              0.0007822
